id	fdr.pvalue.2m_vs_0m	fdr.pvalue.5m_vs_0m	2m_vs_0m	5m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.00544224125692111	0.00175769309150194	3.141	3.2846
PERT-PSP_VANADATE	0.000541176470588235	0.000541176470588235	4.1794	4.4771
PERT-PSP_UV	0.000958240171094477	0.000541176470588235	4.644	5.164
PERT-PSP_U0126	0.00865731462925852	0.00424413904607922	-3.1656	-3.311
PERT-PSP_TNF	0.000541176470588235	0.000541176470588235	4.8971	5.0005
PERT-PSP_THROMBIN	0.000541176470588235	0.000541176470588235	4.4413	4.7798
PERT-PSP_SORBITOL	0.865185588474006	0.067040074366428	0.4266	2.5703
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000958240171094477	0.000541176470588235	4.1683	4.3868
PERT-PSP_PHORBOL_ESTER	0.000541176470588235	0.000541176470588235	4.5008	4.7016
PERT-PSP_PDGF	0.00424413904607922	0.000958240171094477	3.1963	3.3241
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.00544224125692111	0.00228310502283105	3.1797	3.3351
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.00582479567169334	0.00228310502283105	3.1486	3.3745
PERT-PSP_OKADAIC_ACID	0.000541176470588235	0.000541176470588235	4.1801	4.4641
PERT-PSP_LPS	0.000541176470588235	0.000541176470588235	3.7178	3.9311
PERT-PSP_LPA	0.00579774353960264	0.00228310502283105	3.1755	3.328
PERT-PSP_INSULIN	0.000541176470588235	0.000541176470588235	4.4232	4.7706
PERT-PSP_IL_2	0.000958240171094477	0.000541176470588235	3.6875	3.9718
PERT-PSP_IL_1B	0.000958240171094477	0.000541176470588235	4.1291	4.4719
PERT-PSP_IL_1A	0.000541176470588235	0.000541176470588235	4.2002	4.4903
PERT-PSP_HGF	0.00467836257309942	0.00323648883176825	3.1548	3.2997
PERT-PSP_HEREGULIN	0.00467836257309942	0.00284500886488269	3.1464	3.3089
PERT-PSP_H2O2	0.0988385598141696	0.0242372541148133	1.968	2.9655
PERT-PSP_FIBRONECTIN	0.00507913139492087	0.00382483370288248	3.1815	3.3765
PERT-PSP_FGF2	0.16509858499471	0.984884300615648	1.9942	-0.1821
PERT-PSP_FGF1	0.00543093270365998	0.00284500886488269	3.1645	3.3676
PERT-PSP_ETOPOSIDE	0.118063851136883	0.107481960179321	2.1398	2.172
PERT-PSP_ERLOTINIB	0.00284500886488269	0.00175769309150194	-3.1673	-3.3565
PERT-PSP_EGF	0.869666352395022	0.00284500886488269	-0.3867	4.0559
PERT-PSP_DASATINIB	0.00228310502283105	0.000541176470588235	-3.7108	-3.9995
PERT-PSP_CYCLIC_STRETCH	0.00381529019014245	0.00175769309150194	3.1757	3.3928
PERT-PSP_CISPLATIN	0.000958240171094477	0.000541176470588235	3.6168	3.8661
PERT-PSP_BACTERIAL_INFECTION	0.00665401883821721	0.000958240171094477	3.1711	3.3667
PERT-PSP_ARSENITE	0.412863624232719	0.0145721172963047	1.2925	3.0265
PERT-PSP_ANTI_IGM	0.00582479567169334	0.00323648883176825	3.1898	3.3649
PERT-PSP_ANTI_CD3	0.000541176470588235	0.000541176470588235	8.6362	7.7679
PERT-PSP_ANISOMYCIN	0.000541176470588235	0.000541176470588235	4.1553	4.4578
PERT-P100-DIA2_SOTRASTAURIN	0.878115921352978	0.579215549469717	-0.3704	-0.9317
PERT-P100-DIA2_RGFP966	0.558101018185052	0.589503058924547	0.9899	-0.9576
