id	fdr.pvalue.2m_vs_0m	fdr.pvalue.5m_vs_0m	2m_vs_0m	5m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.000635932915842622	0.000635932915842622	3.465	3.259
PERT-PSP_VANADATE	0.000381081081081081	0.000381081081081081	5.0653	4.8813
PERT-PSP_UV	0.000381081081081081	0.000381081081081081	5.7127	5.2815
PERT-PSP_U0126	0.000381081081081081	0.000635932915842622	-3.5755	-3.2467
PERT-PSP_TNF	0.000381081081081081	0.000381081081081081	5.4643	5.122
PERT-PSP_THROMBIN	0.000381081081081081	0.000381081081081081	5.0891	4.7739
PERT-PSP_SORBITOL	0.248135682703095	0.985873727978991	1.811	-0.1498
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000381081081081081	0.000381081081081081	4.6786	4.4416
PERT-PSP_PHORBOL_ESTER	0.000381081081081081	0.000381081081081081	5.1697	4.9158
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.000381081081081081	0.000381081081081081	3.5454	3.1547
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000381081081081081	0.000381081081081081	3.5735	3.1912
PERT-PSP_OKADAIC_ACID	0.000381081081081081	0.000381081081081081	4.6827	4.3626
PERT-PSP_LPS	0.000381081081081081	0.000381081081081081	4.1186	3.755
PERT-PSP_LPA	0.00119922433149622	0.000635932915842622	3.4877	3.2049
PERT-PSP_INSULIN	0.000381081081081081	0.000381081081081081	4.9694	4.8568
PERT-PSP_IL_2	0.000381081081081081	0.000381081081081081	4.1581	3.7535
PERT-PSP_IL_1B	0.000381081081081081	0.000381081081081081	4.6201	4.3904
PERT-PSP_IL_1A	0.000381081081081081	0.000381081081081081	4.6954	4.4817
PERT-PSP_HGF	0.000635932915842622	0.000635932915842622	3.5675	3.1947
PERT-PSP_HEREGULIN	0.000635932915842622	0.000381081081081081	3.5028	3.2305
PERT-PSP_H2O2	0.0690799265727327	0.218369312708935	1.9553	1.7518
PERT-PSP_FIBRONECTIN	0.000635932915842622	0.000635932915842622	3.5243	3.2021
