id	fdr.pvalue.2m_vs_0m	fdr.pvalue.5m_vs_0m	2m_vs_0m	5m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.687485268222342	0.0124088282656058	-0.9582	-2.8699
PERT-PSP_VANADATE	0.850913496535891	0.00131	0.6538	-3.8657
PERT-PSP_UV	0.850427827380952	0.00204940473396849	0.6573	-3.8248
PERT-PSP_U0126	0.687485268222342	0.0199519038076152	0.9685	2.8883
PERT-PSP_TNF	0.640819264880303	0.00131	-1.2712	-3.9037
PERT-PSP_THROMBIN	0.640819264880303	0.00131	-1.2637	-3.9026
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.687485268222342	0.0143656102642834	-0.9758	-2.8226
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.640819264880303	0.00131	-1.2464	-3.5288
PERT-PSP_PHORBOL_ESTER	0.677327594531584	0.00131	-1.132	-3.8197
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.687485268222342	0.0131764232548783	-0.9761	-2.8585
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.687485268222342	0.0105453813644596	-0.9712	-2.8166
PERT-PSP_OKADAIC_ACID	0.640819264880303	0.00204940473396849	-1.2261	-3.5251
PERT-PSP_LPS	0.641035650906824	0.00204940473396849	-1.2261	-3.5853
PERT-PSP_LPA	0.687485268222342	0.0105453813644596	-0.9798	-2.8697
PERT-PSP_INSULIN	0.67193525019503	0.00131	-1.1316	-3.7996
PERT-PSP_IL_2	0.640819264880303	0.00131	-1.259	-3.5085
PERT-PSP_IL_1B	0.640819264880303	0.00204940473396849	-1.2507	-3.5538
PERT-PSP_IL_1A	0.640819264880303	0.00131	-1.2615	-3.5423
PERT-PSP_HGF	0.640819264880303	0.00131	-1.2639	-3.5151
PERT-PSP_HEREGULIN	0.641035650906824	0.00131	-1.2232	-3.5438
PERT-PSP_H2O2	0.934964919924145	1	-0.3425	0.1243
PERT-PSP_FIBRONECTIN	0.687485268222342	0.0220457744324093	-0.9712	-2.8665
PERT-PSP_FGF2	0.998576813868081	0.687485268222342	0.1896	-0.9934
PERT-PSP_FGF1	0.687485268222342	0.0227607550721228	-0.9692	-2.8319
PERT-PSP_ETOPOSIDE	0.126751844996274	0.0986523164781374	-2.4301	-2.6688
PERT-PSP_ERLOTINIB	0.687485268222342	0.0131764232548783	0.9682	2.897
PERT-PSP_EGF	0.779160482304623	0.0129549050632911	0.7485	-3.3767
PERT-PSP_DASATINIB	0.640819264880303	0.00131	1.2665	3.5214
PERT-PSP_CYCLIC_STRETCH	0.687485268222342	0.0105453813644596	-0.9647	-2.8705
PERT-PSP_CXCL12	0.687485268222342	0.0143656102642834	-0.9831	-2.8334
PERT-PSP_CISPLATIN	0.640819264880303	0.00131	-1.2399	-3.556
PERT-PSP_BACTERIAL_INFECTION	0.687485268222342	0.0131764232548783	-0.9859	-2.8295
PERT-PSP_ARSENITE	0.934964919924145	0.0377062263681918	0.3459	-2.7027
PERT-PSP_ANTI_IGM	0.640819264880303	0.00204940473396849	-1.2524	-3.4889
PERT-PSP_ANTI_CD3	0.971859273199036	0.163504376833009	-0.2806	-2.4942
PERT-PSP_ANISOMYCIN	0.674473667899424	0.00131	-1.1231	-3.86
PERT-P100-DIA2_SOTRASTAURIN	0.81668851222657	1	0.6986	-0.0651
PERT-P100-DIA2_RGFP966	0.719268724357084	0.666223270827898	-0.9253	-1.213
PERT-P100-DIA2_RESVERATROL	0.0244468865987932	0.0146429753700511	-2.8684	-2.7033
PERT-P100-DIA2_PAZOPANIB	0.940331253034761	0.934964919924145	-0.3248	-0.3714
PERT-P100-DIA2_LOSMAPIMOD	0.0224713235184439	0.0187495790395366	-2.8145	-2.709
