id	fdr.pvalue.2m_vs_0m	fdr.pvalue.5m_vs_0m	2m_vs_0m	5m_vs_0m
PERT-PSP_VIRUS_INFECTION	0.000651989858977877	0.000370666666666667	3.5122	3.5901
PERT-PSP_VANADATE	0.000370666666666667	0.000370666666666667	5.2267	5.5277
PERT-PSP_UV	0.000370666666666667	0.000370666666666667	4.0551	4.2222
PERT-PSP_U0126	0.00170358795232405	0.000370666666666667	-3.4043	-3.6431
PERT-PSP_TNF	0.000651989858977877	0.000370666666666667	3.4359	3.7177
PERT-PSP_THROMBIN	0.000370666666666667	0.000370666666666667	5.0084	5.1242
PERT-PSP_SPHINGOSINE_1_PHOSPHATE	0.000370666666666667	0.000370666666666667	3.5097	3.6541
PERT-PSP_SII_ANGIOTENSIN_2	0.000370666666666667	0.000370666666666667	3.4468	3.6244
PERT-PSP_PRL	0.00119052717228384	0.000370666666666667	3.517	3.6731
PERT-PSP_PHORBOL_ESTER_IONOMYCIN	0.000370666666666667	0.000370666666666667	3.442	3.652
PERT-PSP_PHORBOL_ESTER	0.000370666666666667	0.000370666666666667	4.0747	4.302
PERT-PSP_PAR2_ACTIVATING_PEPTIDE	0.00119052717228384	0.000370666666666667	3.4492	3.6008
PERT-PSP_PAR1_ACTIVATING_PEPTIDE	0.000651989858977877	0.000370666666666667	3.5018	3.5737
PERT-PSP_OKADAIC_ACID	0.000370666666666667	0.000370666666666667	3.4421	3.6145
PERT-PSP_LPS	0.000370666666666667	0.000370666666666667	4.1128	4.2652
PERT-PSP_LPA	0.00119052717228384	0.000370666666666667	3.455	3.6181
PERT-PSP_INSULIN	0.000370666666666667	0.000370666666666667	4.0729	4.1136
PERT-PSP_IMATINIB	0.613656505026451	0.679227711963279	-0.8936	0.7791
PERT-PSP_IL_2	0.000370666666666667	0.000370666666666667	4.4993	4.722
PERT-PSP_IL_1B	0.00119052717228384	0.000370666666666667	3.4455	3.7375
PERT-PSP_IL_1A	0.000370666666666667	0.000370666666666667	3.4631	3.6415
PERT-PSP_HGF	0.00119052717228384	0.000370666666666667	3.4566	3.6005
PERT-PSP_HEREGULIN	0.000370666666666667	0.000370666666666667	3.4464	3.6592
PERT-PSP_H2O2	0.000370666666666667	0.025036489550014	3.5708	2.8602
PERT-PSP_GEFITINIB	1	0.399675224580371	-0.0116	1.4121
PERT-PSP_FIBRONECTIN	0.000651989858977877	0.000370666666666667	3.532	3.6418
PERT-PSP_FGF2	0.179521414190524	0.171861078430498	1.9786	2.0151
PERT-PSP_FGF1	0.000651989858977877	0.000370666666666667	3.4654	3.5927
PERT-PSP_ERLOTINIB	0.000370666666666667	0.000370666666666667	-4.4903	-4.6552
PERT-PSP_EPO	0.000651989858977877	0.000370666666666667	3.4753	3.623
PERT-PSP_EGF	0.0894250100522718	0.907493947502548	2.4272	0.2713
PERT-PSP_DASATINIB	0.00119052717228384	0.000370666666666667	-3.4908	-3.6778
PERT-PSP_CYCLIC_STRETCH	0.000651989858977877	0.000370666666666667	3.4476	3.642
PERT-PSP_CXCL12	0.000370666666666667	0.000370666666666667	3.4395	3.7035
PERT-PSP_CISPLATIN	0.000651989858977877	0.000370666666666667	3.9712	4.2002
PERT-PSP_BACTERIAL_INFECTION	0.000370666666666667	0.000370666666666667	3.4906	3.654
PERT-PSP_ANTI_IGM	0.000370666666666667	0.000370666666666667	4.1168	4.2638
PERT-PSP_ANTI_CD3	0.000370666666666667	0.000370666666666667	7.9827	6.9668
PERT-PSP_ANISOMYCIN	0.00217908470603912	0.000370666666666667	3.4303	3.6492
PERT-P100-DIA2_PAZOPANIB	0.0251294343539504	0.00119052717228384	-2.682	-3.2834
PERT-P100-DIA2_LENALIDOMIDE	0.024978466838932	0.00268667044217957	-2.7071	-3.3571
PERT-P100-DIA2_IPI145	0.219726319615833	0.444476155806334	1.8864	1.2603
PATH-WP_Non-small_cell_lung_cancer	0.000370666666666667	0.000370666666666667	4.0611	4.2615
PATH-NP_TWEAK_PATHWAY	0.000651989858977877	0.000370666666666667	3.3955	3.5676
PATH-NP_TSLP_PATHWAY	0.000370666666666667	0.000370666666666667	5.8951	4.8777
PATH-NP_TIE2_PATHWAY	0.605471170274685	0.949686729256003	-0.9511	-0.1645
PATH-NP_T_CELL_RECEPTOR_PATHWAY	0.652592498706127	0.84967167170098	0.7921	0.3939
PATH-NP_PROLACTIN_PATHWAY	0.239012795225813	0.202538786346822	-1.7827	-1.7714
PATH-NP_OXYTOCIN_PATHWAY	0.000370666666666667	0.000370666666666667	4.068	4.2711
PATH-NP_NOTCH_PATHWAY	0.000370666666666667	0.000370666666666667	4.5641	4.4139
PATH-NP_LEPTIN_PATHWAY	0.00119052717228384	0.0123079018841579	3.4382	3.1329
PATH-NP_KIT_RECEPTOR_PATHWAY	0.000370666666666667	0.00217908470603912	3.9841	3.7779
PATH-NP_IL33_PATHWAY	0.000370666666666667	0.000370666666666667	5.213	5.237
PATH-NP_GLP1_PATHWAY	0.0392146963793595	0.0031541088507925	-2.524	-3.2818
PATH-NP_FGF1_PATHWAY	0.0138767102546227	0.000651989858977877	-3.2633	-4.2466
PATH-NP_EGFR1_PATHWAY	0.000370666666666667	0.0174696271470465	5.9856	3.4288
PATH-NP_CRH_PATHWAY	0.000651989858977877	0.000370666666666667	3.5033	3.6215
